
Integration time [ms]: 500.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7417773SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 676.98; 1007.000;  973.000;  819.000;34.00000
 677.04; 1181.000; 1140.000;  926.000;41.00000
 677.10; 1338.000; 1253.000;  995.000;85.00000
 677.17; 1019.000;  978.000;  822.000;41.00000
 677.23; 1113.000; 1105.000;  920.000; 8.00000
 677.29;  939.000;  942.000;  771.000;-3.00000
 677.36; 1026.000;  996.000;  855.000;30.00000
 677.42; 1125.000; 1040.000;  899.000;85.00000
 677.48; 1171.000; 1105.000;  911.000;66.00000
 677.55; 1154.000; 1200.000;  952.000;-46.00000
 677.61; 1251.000; 1235.000;  943.000;16.00000
 677.67; 1143.000; 1168.000;  923.000;-25.00000
 677.74; 1156.000; 1102.000;  899.000;54.00000
 677.80; 1099.000; 1124.000;  879.000;-25.00000
 677.86;  973.000;  958.000;  816.000;15.00000
 677.92;  943.000;  901.000;  769.000;42.00000
 677.99; 1331.000;  964.000; 1009.000;367.00000
 678.05; 1576.000; 1191.000; 1255.000;385.00000
 678.11; 1451.000; 1124.000; 1133.000;327.00000
 678.18; 1376.000; 1033.000; 1092.000;343.00000
 678.24; 1259.000;  944.000; 1040.000;315.00000
 678.30; 1407.000; 1064.000; 1130.000;343.00000
 678.36; 1364.000; 1005.000; 1075.000;359.00000
 678.43; 1293.000;  974.000; 1096.000;319.00000
 678.49; 1442.000; 1048.000; 1056.000;394.00000
 678.55; 1423.000; 1100.000; 1118.000;323.00000
 678.62; 1423.000; 1082.000; 1117.000;341.00000
 678.68; 1678.000; 1356.000; 1347.000;322.00000
 678.74; 1418.000; 1077.000; 1142.000;341.00000
 678.80; 1579.000; 1214.000; 1220.000;365.00000
 678.87; 1511.000; 1088.000; 1199.000;423.00000
 678.93; 1675.000; 1279.000; 1256.000;396.00000
 678.99; 1297.000;  924.000; 1067.000;373.00000
 679.06; 1379.000; 1114.000; 1071.000;265.00000
 679.12; 1357.000;  953.000; 1052.000;404.00000
 679.18; 1475.000; 1088.000; 1167.000;387.00000
 679.24; 1497.000; 1185.000; 1236.000;312.00000
 679.31; 1464.000; 1124.000; 1189.000;340.00000
 679.37; 1563.000; 1235.000; 1221.000;328.00000
 679.43; 1302.000;  938.000; 1096.000;364.00000
 679.49; 1327.000;  962.000; 1059.000;365.00000
 679.56; 1384.000; 1034.000; 1126.000;350.00000
 679.62; 1212.000;  932.000; 1060.000;280.00000
 679.68; 1335.000; 1003.000; 1080.000;332.00000
 679.74; 1387.000; 1023.000; 1132.000;364.00000
 679.81; 1249.000;  925.000; 1047.000;324.00000
 679.87; 1474.000; 1107.000; 1165.000;367.00000
 679.93; 1424.000; 1138.000; 1166.000;286.00000
 679.99; 1485.000; 1187.000; 1278.000;298.00000
 680.06; 1511.000; 1207.000; 1232.000;304.00000
 680.12; 1330.000;  986.000; 1119.000;344.00000
 680.18; 1299.000; 1007.000; 1110.000;292.00000
 680.24; 1306.000;  995.000; 1063.000;311.00000
 680.31; 1598.000; 1209.000; 1253.000;389.00000
 680.37; 1373.000; 1109.000; 1136.000;264.00000
 680.43; 1351.000;  961.000; 1075.000;390.00000
 680.49; 1785.000; 1429.000; 1363.000;356.00000
 680.56; 1473.000; 1103.000; 1219.000;370.00000
 680.62; 1261.000;  888.000; 1012.000;373.00000
 680.68; 1394.000;  962.000; 1066.000;432.00000
 680.74; 1527.000; 1140.000; 1189.000;387.00000
 680.80; 1312.000;  944.000; 1079.000;368.00000
 680.87; 1360.000; 1001.000; 1113.000;359.00000
 680.93; 1452.000; 1070.000; 1164.000;382.00000
 680.99; 1521.000; 1129.000; 1187.000;392.00000
 681.05; 1415.000;  978.000; 1104.000;437.00000
 681.12; 1268.000;  910.000; 1037.000;358.00000
 681.18; 1482.000; 1214.000; 1216.000;268.00000
 681.24; 1210.000;  931.000; 1046.000;279.00000
 681.30; 1352.000;  994.000; 1121.000;358.00000
